745.9303 I 20.418 0.038
746.8425 I 20.354 0.033
760.7279 I 20.45 0.063
761.7928 I 20.486 0.046
761.8011 I 20.465 0.056
761.9618 I 20.47 0.077
768.9346 I 20.197 0.173
768.9394 I 20.317 0.198
768.9442 I 20.644 0.174
769.9655 I 20.644 0.122
770.9156 I 20.481 0.098
770.9273 I 20.508 0.075
771.8015 I 20.348 0.061
771.8398 I 20.592 0.068
771.8486 I 20.637 0.098
773.8974 I 20.391 0.08
774.7215 I 20.569 0.069
774.8601 I 20.536 0.064
775.7311 I 20.542 0.092
776.7654 I 20.548 0.069
776.8843 I 20.481 0.069
777.7235 I 20.553 0.077
777.8956 I 20.531 0.049
1057.9264 I 20.216 0.084
1058.8577 I 20.022 0.159
1063.865 I 19.396 0.387
1064.8432 I 20.126 0.124
1072.8623 I 20.007 0.115
1072.9293 I 19.914 0.094
1077.8543 I 20.034 0.076
1083.9477 I 20.108 0.122
1085.9244 I 19.802 0.214
1086.9146 I 19.868 0.211
1091.832 I 20.599 0.228
1092.9182 I 19.602 0.302
1097.8901 I 20.205 0.129
1099.9083 I 19.835 0.08
1102.8453 I 20.049 0.161
1107.9221 I 20.168 0.127
1142.9743 I 20.54 0.124
2911.9486 I 20.751 0.06
2929.7669 I 20.784 0.081
2929.7773 I 20.815 0.082
2943.8848 I 20.741 0.039
2943.8915 I 20.75 0.043
2969.6674 I 20.372 0.042
2969.6759 I 20.306 0.049
3001.6668 I 20.282 0.059
3001.6722 I 20.207 0.048
3058.6371 I 19.794 0.109
3320.9051 I 20.026 0.039
3344.838 I 20.191 0.054
3344.8438 I 20.273 0.057
3370.8474 I 20.528 0.124
3370.8549 I 20.753 0.151
3412.7013 I 20.827 0.133
3412.7077 I 20.719 0.176
3359.7978 H 17.639 0.0311448230047949
3359.7924 J 18.334 0.0458802789878178
3359.8047 K 17.175 0.0522015325445528
4812.8225 H 17.42 0.0408044115262063
4813.7067 H 17.357 0.0604152298679729
4812.8331 K 16.899 0.122409149984795
4079.7676 H 17.475 0.048
4132.6503 H 17.788 0.046
4493.7024 H 17.819 0.078
4537.7016 H 17.486 0.066
4798.854 H 17.47 0.027
4079.7653 J 18.295 0.071
4132.647 J 18.482 0.059
4529.6639 J 18.405 0.056
4809.8123 J 18.283 0.029
4044.0149 K 17.116 0.048
4073.8863 K 17.153 0.05
4075.8381 K 17.319 0.081
4079.7721 K 17.198 0.042
4132.6549 K 17.357 0.038
4139.7033 K 17.475 0.039
4350.0338 K 17.235 0.04
4493.6788 K 17.601 0.071
4537.6695 K 17.122 0.067
4798.8331 K 17.148 0.033
