568.263 I 20.846 0.019
569.231 I 20.847 0.02
583.1331 I 20.932 0.019
584.2365 I 20.916 0.019
585.2525 I 20.922 0.019
588.164 I 20.927 0.032
588.1652 I 20.972 0.033
591.3606 I 21.007 0.047
591.3656 I 20.898 0.044
592.3365 I 21.021 0.029
592.3473 I 21 0.024
593.2733 I 21.008 0.022
593.2824 I 20.996 0.019
594.1595 I 21.001 0.017
594.1687 I 21.035 0.017
596.2753 I 21.032 0.019
596.3476 I 21.038 0.02
597.0993 I 21.027 0.023
597.2284 I 21.047 0.023
597.3514 I 21.02 0.026
598.1076 I 21.049 0.022
598.2308 I 21.075 0.018
599.1413 I 21.05 0.02
599.2622 I 21.077 0.018
600.2727 I 21.12 0.018
880.2832 I 18.15 0.018
886.2194 I 18.057 0.028
887.2235 I 18.055 0.02
888.3136 I 18.004 0.022
895.2425 I 17.923 0.018
895.3095 I 17.96 0.018
900.2394 I 17.911 0.014
908.2913 I 17.865 0.015
909.2941 I 17.825 0.02
914.2372 I 17.827 0.019
915.2629 I 17.784 0.03
920.326 I 17.836 0.021
922.2781 I 17.825 0.017
923.347 I 17.855 0.016
930.2307 I 17.819 0.019
930.3544 I 17.83 0.02
965.2545 I 17.64 0.02
1614.3318 I 19.927 0.026
1619.3129 I 19.959 0.023
1620.3138 I 19.947 0.027
1663.2776 I 19.107 0.026
1663.317 I 19.085 0.023
1664.1069 I 19.051 0.04
1664.1449 I 19.037 0.029
1664.2667 I 19 0.028
1667.178 I 18.848 0.026
1667.2894 I 18.838 0.024
1668.1535 I 18.758 0.031
1668.2668 I 18.806 0.026
1693.0485 I 18.397 0.054
1693.1731 I 18.321 0.049
1693.2681 I 18.385 0.103
1694.0467 I 18.419 0.06
1694.3068 I 18.397 0.095
1695.2334 I 18.513 0.085
1697.228 I 18.35 0.047
1697.3155 I 18.413 0.067
1698.054 I 18.388 0.058
1698.1097 I 18.411 0.06
1698.2345 I 18.422 0.037
1716.03 I 18.442 0.052
1716.1508 I 18.54 0.178
1716.2159 I 18.458 0.082
1717.016 I 18.442 0.083
1717.1393 I 18.332 0.2
1718.012 I 18.364 0.06
1718.1561 I 18.402 0.062
1719.0186 I 18.394 0.063
1719.193 I 18.335 0.07
1720.0082 I 18.304 0.079
1720.144 I 18.358 0.065
1721.1616 I 18.313 0.052
2734.2661 I 18.542 0.151
2752.1488 I 19.057 0.151
2752.2346 I 19.119 0.044
2766.1094 I 19.568 0.149
2766.1172 I 19.213 0.049
2792.2006 I 19.453 0.038
2792.2117 I 19.374 0.047
2824.1627 I 19.336 0.029
2824.1689 I 19.356 0.029
2880.992 I 19.741 0.018
2880.9977 I 19.748 0.023
2896.971 I 19.82 0.023
2896.9773 I 19.865 0.023
3136.1335 I 18.799 0.035
3136.1453 I 18.771 0.026
3143.1755 I 18.656 0.022
3143.1823 I 18.656 0.025
3167.1713 I 18.173 0.017
3167.1777 I 18.123 0.017
3193.1818 I 18.265 0.03
3193.1878 I 18.29 0.028
3234.9994 I 18.924 0.034
3235.0192 I 18.916 0.384
3801.2364 I 20.538 0.014
3802.2429 I 20.51 0.01
3802.2811 I 20.448 0.026
2771.4197 H 14.54 0.0237065391822594
3184.2299 H 14.546 0.025298221281347
3184.2242 J 16.005 0.047169905660283
2771.4287 K 14.646 0.0482700735445887
3184.237 K 14.681 0.0552268050859363
4635.0977 H 15.384 0.0390512483795333
4636.0347 H 15.363 0.0228473193175917
4636.0855 H 15.391 0.0332415402771893
4635.0923 J 16.807 0.0355105618091294
4636.0894 J 16.806 0.029
4635.1081 K 15.386 0.020591260281974
4636.0294 K 15.396 0.0306757233003559
4636.0818 K 15.41 0.0316227766016838
4272.1459 H 14.3 0.037
4349.1659 H 14.46 0.034
4592.3339 H 15.386 0.022
4271.1943 J 15.66 0.046
4272.1925 J 15.72 0.039
4273.1669 J 15.687 0.029
4349.1427 J 16.044 0.062
4592.32 J 16.823 0.016
3867.352 K 15.09 0.021
3896.3551 K 15.024 0.038
3913.2453 K 15.009 0.018
4172.3872 K 14.331 0.015
4271.1453 K 14.307 0.017
4272.1171 K 14.348 0.056
4349.1178 K 14.548 0.057
4592.3023 K 15.382 0.011
