  2188.7598  I    DIRECT   20.160    0.266    0.000
  2188.8016  I    DIRECT   20.249    0.254    0.000
  2206.6455  I    DIRECT   20.473    0.278    0.000
  2206.6601  I    DIRECT   19.997    0.324    0.000
  2220.6061  I    DIRECT   21.220    0.778    0.000
  2220.6451  I    DIRECT   19.948    0.437    0.000
  2246.6503  I    DIRECT   20.094    0.297    0.000
  2246.6620  I    DIRECT   19.989    0.314    0.000
  2278.6559  I    DIRECT   20.937    0.237    0.000
  2278.6619  I    DIRECT   20.721    0.258    0.000
  2335.4838  I    DIRECT   20.791    0.067    0.000
  2335.4905  I    DIRECT   21.000    0.094    0.000
  2351.4615  I    DIRECT   20.886    0.086    0.000
  2351.4693  I    DIRECT   20.652    0.089    0.000
  2590.6257  I    DIRECT   19.916    0.183    0.000
  2590.6319  I    DIRECT   19.865    0.428    0.000
  2597.6739  I    DIRECT   20.333    0.245    0.000
  2621.6626  I    DIRECT   20.116    0.197    0.000
  2621.6694  I    DIRECT   20.273    0.151    0.000
  2647.6741  I    DIRECT   20.795    0.135    0.000
  2647.6802  I    DIRECT   20.873    0.152    0.000
  2689.4979  I    DIRECT   20.827    0.102    0.000
  2689.5107  I    DIRECT   20.901    0.102    0.000
  3256.7995  I    DIRECT   20.409    0.068    0.000
  3256.8057  I    DIRECT   20.219    0.096    0.000
  4089.5613  H      KPNO   18.358    0.071    0.013
  4089.5542  J      KPNO   19.340    0.060    0.021
  4089.5721  K      KPNO   18.047    0.055    0.010
  4090.5567  K      KPNO   18.067    0.093    0.010
  3356.6692  H     UKIRT   18.152    0.041    0.000
  3409.5519  H     UKIRT   18.414    0.065    0.000
  3728.6311  H     UKIRT   18.262    0.037    0.000
  4086.7515  H     UKIRT   18.342    0.026    0.000
  3332.8525  J     UKIRT   18.879    0.063    0.000
  3356.6668  J     UKIRT   18.887    0.064    0.000
  3409.5486  J     UKIRT   19.258    0.089    0.000
  4086.7288  J     UKIRT   19.206    0.023    0.000
  3320.9801  K     UKIRT   17.642    0.041    0.000
  3332.8594  K     UKIRT   17.644    0.035    0.000
  3350.8357  K     UKIRT   17.718    0.052    0.000
  3352.7397  K     UKIRT   17.679    0.064    0.000
  3356.6737  K     UKIRT   17.754    0.036    0.000
  3409.5565  K     UKIRT   18.067    0.046    0.000
  3626.9571  K     UKIRT   17.941    0.054    0.000
  3727.7126  K     UKIRT   17.918    0.028    0.000
  4086.6895  K     UKIRT   18.045    0.030    0.000
